iter	Passed	Remaining
0	148	148717
1	157	78713
2	168	55951
3	177	44300
4	187	37338
5	201	33416
6	214	30432
7	224	27870
8	234	25862
9	244	24249
10	253	22747
11	264	21743
12	272	20705
13	281	19808
14	290	19091
15	299	18391
16	310	17975
17	320	17460
18	330	17045
19	341	16749
20	352	16424
21	367	16332
22	381	16190
23	394	16050
24	408	15946
25	421	15778
26	431	15537
27	442	15358
28	456	15272
29	466	15092
30	477	14940
31	489	14808
32	500	14661
33	510	14498
34	519	14331
35	528	14145
36	536	13965
37	545	13805
38	553	13644
39	564	13537
40	572	13386
41	581	13255
42	589	13128
43	599	13028
44	608	12915
45	617	12801
46	629	12757
47	638	12655
48	651	12647
49	663	12612
50	675	12578
51	688	12551
52	700	12513
53	714	12512
54	728	12508
55	743	12526
56	757	12531
57	775	12590
58	795	12683
59	811	12709
60	826	12729
61	844	12773
62	859	12784
63	876	12820
64	894	12869
65	911	12892
66	927	12918
67	944	12947
68	957	12920
69	969	12875
70	977	12792
71	989	12748
72	996	12658
73	1005	12585
74	1015	12521
75	1024	12454
76	1032	12382
77	1041	12311
78	1051	12258
79	1059	12189
80	1071	12151
81	1081	12104
82	1091	12060
83	1102	12025
84	1112	11977
85	1121	11919
86	1132	11882
87	1144	11857
88	1155	11824
89	1167	11805
90	1177	11762
91	1187	11717
92	1198	11689
93	1210	11666
94	1220	11630
95	1232	11609
96	1242	11567
97	1252	11525
98	1264	11507
99	1276	11490
100	1291	11492
101	1302	11467
102	1312	11430
103	1321	11383
104	1330	11343
105	1341	11314
106	1351	11275
107	1360	11238
108	1370	11205
109	1382	11182
110	1392	11155
111	1401	11111
112	1411	11078
113	1422	11051
114	1431	11017
115	1441	10988
116	1453	10970
117	1462	10934
118	1472	10904
119	1481	10861
120	1491	10835
121	1500	10795
122	1509	10759
123	1517	10722
124	1528	10697
125	1539	10678
126	1547	10638
127	1557	10610
128	1566	10574
129	1575	10543
130	1585	10517
131	1594	10485
132	1604	10457
133	1613	10429
134	1623	10403
135	1633	10377
136	1641	10342
137	1651	10315
138	1659	10281
139	1669	10257
140	1679	10231
141	1688	10200
